Number,Species,Chemical Name,TMZ,Resolved QNs,CDMS/JPL Intensity,Lovas/AST Intensity,EL(K),EU(K),Linelist,
39,H2CO,Formaldehyde,"6.352E-7, 6.4E-7","3( 3, 0)- 3( 3, 1), F= 3- 2",-14.8593,,126.95436,126.95439,CDMS
40,H2CO,Formaldehyde,"6.496E-7, 6.5E-7","3( 3, 0)- 3( 3, 1), F= 4- 3",-14.8345,,126.95436,126.95439,CDMS
41,H2CO,Formaldehyde,"6.533999999999999E-7, 6.5E-7","3( 3, 0)- 3( 3, 1), F= 2- 2",-13.9317,,126.95436,126.95439,CDMS
42,H2CO,Formaldehyde,"6.533999999999999E-7, 6.5E-7","3( 3, 0)- 3( 3, 1), F= 3- 3",-13.81,,126.95436,126.95439,CDMS
43,H2CO,Formaldehyde,"6.533999999999999E-7, 6.5E-7","3( 3, 0)- 3( 3, 1), F= 4- 4",-13.6533,,126.95436,126.95439,CDMS
44,H2CO,Formaldehyde,"6.544999999999999E-7, 6.5E-7","3( 3, 0)- 3( 3, 1)",-13.2573,,126.95436,126.95439,CDMS
45,H2CO,Formaldehyde,"6.565999999999998E-7, 6.6E-7","12( 5, 7)-12( 5, 8)",-14.0074,,566.54552,566.54555,CDMS
46,H2CO,Formaldehyde,"6.572E-7, 6.6E-7","3( 3, 0)- 3( 3, 1), F= 3- 4",-14.8243,,126.95436,126.95439,CDMS
47,H2CO,Formaldehyde,"6.716E-7, 6.7E-7","3( 3, 0)- 3( 3, 1), F= 2- 3",-14.8109,,126.95436,126.95439,CDMS
48,H2CO,Formaldehyde,"7.2E-7, 7.2E-7","41( 9,32)-41( 9,33)",-18.8339,,3945.13978,3945.13981,CDMS
49,H2CO,Formaldehyde,"7.514999999999999E-7, 7.5E-7","33( 8,25)-33( 8,26)",-17.4875,,2705.83165,2705.83168,CDMS
50,H2CO,Formaldehyde,"8.177E-7, 8.2E-7","7( 4, 3)- 7( 4, 4)",-13.8583,,286.16533,286.16537,CDMS
51,H2CO,Formaldehyde,"1.044E-6, 1.04E-6","26( 7,19)-26( 7,20)",-15.4262,,1799.99815,1799.9982,CDMS
52,H2CO,Formaldehyde,"1.1061E-6, 1.11E-6","42( 9,33)-42( 9,34)",-18.683,,4091.06703,4091.06709,CDMS
53,H2CO,Formaldehyde,"1.111E-6, 1.11E-6","19( 6,13)-19( 6,14)",-14.8175,,1086.54673,1086.54678,CDMS
54,H2CO,Formaldehyde,"1.2085E-6, 1.21E-6","34( 8,26)-34( 8,27)",-17.2594,,2824.2472,2824.24726,CDMS
55,H2CO,Formaldehyde,"1.4757999999999997E-6, 1.48E-6","13( 5, 8)-13( 5, 9)",-13.4036,,611.97766,611.97773,CDMS
56,H2CO,Formaldehyde,"1.6811999999999999E-6, 1.68E-6","43( 9,34)-43( 9,35)",-18.5463,,4240.44431,4240.44439,CDMS
57,H2CO,Formaldehyde,"1.7694E-6, 1.77E-6","27( 7,20)-27( 7,21)",-15.1211,,1894.19419,1894.19427,CDMS
58,H2CO,Formaldehyde,"1.9154E-6, 1.92E-6","35( 8,27)-35( 8,28)",-17.0487,,2946.13436,2946.13445,CDMS
59,H2CO,Formaldehyde,"2.056E-6, 2.06E-6","20( 6,14)-20( 6,15)",-14.405,,1156.40139,1156.40149,CDMS
60,H2CO,Formaldehyde,"2.454E-6, 2.45E-6","8( 4, 4)- 8( 4, 5)",-13,,314.13154,314.13166,CDMS
61,H2CO,Formaldehyde,"2.5291E-6, 2.53E-6","44( 9,35)-44( 9,36)",-18.4233,,4393.26989,4393.27001,CDMS
62,H2CO,Formaldehyde,"2.939E-6, 2.94E-6","28( 7,21)-28( 7,22)",-14.8379,,1991.87622,1991.87636,CDMS
63,H2CO,Formaldehyde,"2.9947E-6, 2.99E-6","36( 8,28)-36( 8,29)",-16.8546,,3071.49197,3071.49211,CDMS
64,H2CO,Formaldehyde,"3.1103999999999995E-6, 3.11E-6","14( 5, 9)-14( 5,10)",-12.8579,,660.90831,660.90846,CDMS
65,H2CO,Formaldehyde,"3.692E-6, 3.69E-6","21( 6,15)-21( 6,16)",-14.0238,,1229.75111,1229.75129,CDMS
66,H2CO,Formaldehyde,"3.7677E-6, 3.77E-6","45( 9,36)-45( 9,37)",-18.3136,,4549.54203,4549.54222,CDMS
67,H2CO,Formaldehyde,"4.5631E-6, 4.56E-6","4( 3, 1)- 4( 3, 2), F= 4- 3",-13.4925,,140.93847,140.93869,CDMS
68,H2CO,Formaldehyde,"4.5658E-6, 4.57E-6","4( 3, 1)- 4( 3, 2), F= 5- 4",-13.4895,,140.93847,140.93869,CDMS
69,H2CO,Formaldehyde,"4.5726E-6, 4.57E-6","4( 3, 1)- 4( 3, 2), F= 3- 3",-12.3146,,140.93847,140.93869,CDMS
70,H2CO,Formaldehyde,"4.5726E-6, 4.57E-6","4( 3, 1)- 4( 3, 2), F= 4- 4",-12.222,,140.93847,140.93869,CDMS
71,H2CO,Formaldehyde,"4.5726E-6, 4.57E-6","4( 3, 1)- 4( 3, 2), F= 5- 5",-12.108,,140.93847,140.93869,CDMS
72,H2CO,Formaldehyde,"4.5728E-6, 4.57E-6","4( 3, 1)- 4( 3, 2)",-11.7003,,140.93847,140.93869,CDMS
73,H2CO,Formaldehyde,"4.5794E-6, 4.58E-6","4( 3, 1)- 4( 3, 2), F= 4- 5",-13.4869,,140.93847,140.93869,CDMS
74,H2CO,Formaldehyde,"4.5821E-6, 4.58E-6","4( 3, 1)- 4( 3, 2), F= 3- 4",-13.4889,,140.93847,140.93869,CDMS
75,H2CO,Formaldehyde,"4.6219E-6, 4.62E-6","37( 8,29)-37( 8,30)",-16.6764,,3200.31888,3200.3191,CDMS
